"Sales","PredictedSales"
9013,8502.78436847079
5732,6267.29484994143
5409,5639.83165922047
5065,4913.31948802899
3700,3759.49260272917
4957,5524.15617136049
4819,5176.81003401274
5024,5234.49599599672
4876,5127.88722100762
4132,4276.62716999896
4740,4715.81191436235
4573,4246.24623635517
4478,4836.54473624033
10139,9398.70839852809
2058,2153.58354568723
4732,5568.08750943295
5088,5546.80083798095
4467,4518.61011765719
5613,5811.2083117647
3927,3951.97463492684
2167,2031.48674597935
2667,2650.28001258315
5142,5454.57870294048
6807,7053.00468723511
1588,1653.28485500955
4579,4605.28964179133
2245,2062.10427793461
5135,4774.21546394854
7246,7299.33426734209
3955,4111.14359486173
3477,3251.83287218286
5478,5673.56644792617
5789,6375.9079134347
7644,7277.73107937257
4600,4652.72120149729
8215,7938.34356643257
5556,5762.70014623183
4683,4859.52341348279
4202,4148.94892595464
8526,9242.41373668629
6078,6019.87667819374
4123,3755.86230469457
3834,3495.54399261916
5734,5656.97623612497
4088,3853.67017921311
8636,8321.29718400482
2426,2408.99554081975
5420,4854.7965930038
6993,6957.94917309969
5982,6104.86392602795
2011,1939.3186420257
4076,4289.51407663133
7202,7045.34840101059
7724,7136.0709047453
8843,9412.50862765666
1763,2023.82353790657
7960,8496.62727045613
4630,4554.54594655844
2447,2401.57540654404
4366,4266.74819907879
7944,7533.35092969947
9583,9453.77742723919
2264,2259.49338107128
8588,8163.07999071639
2524,2342.00056209029
4516,4321.7566765789
6398,5669.42202986118
7432,7804.40672211338
6257,6304.35125421014
1732,2077.39096094329
3165,3110.88811643434
8916,9140.13547411568
6844,6832.47312206159
4469,4468.71763197106
5941,5753.72170336835
5007,4619.8831424327
4932,4983.96550843129
3800,3879.80405974907
6873,7095.50131387616
1937,1893.08407579149
6502,6628.03185194997
4641,4560.2553399864
6945,7000.09844367639
2571,2490.20935496828
5471,5643.24017490316
8617,8317.82220708517
2009,1900.79581309139
2318,2153.58354568723
4639,4561.76373036492
7271,7138.14681870162
4123,4057.77842488677
8670,8050.49817961983
6128,6066.95508129597
5232,4905.95831117197
5643,5639.83165922047
1833,1962.40110402276
9743,9862.56201844388
4052,4287.317888536
2549,2293.80786297481
4512,4377.2844739944
4259,4405.25452118068
5191,5185.01058683184
7745,7320.97051348367
10102,10103.9008576227
5892,6077.11630809229
5483,5351.85638456238
5167,4833.0634862646
5625,5954.5473465153
1965,1916.21233010531
2846,2774.90887997488
8610,8943.70743721734
10026,9921.98694315838
5885,5574.09267122711
4704,5111.68601120445
2436,2304.579402367
7609,7708.1342660167
4881,4321.7566765789
11941,10757.6583484623
7787,8446.00696734477
4435,4540.14117448826
2113,1985.45783658436
8900,8653.21232597866
4504,4583.47937038918
7288,7484.25052323669
1733,1792.65573907764
9064,9552.60908506797
4893,5051.61568390679
10425,11030.667670477
9245,9367.20323370862
2705,2771.71988083828
7675,7616.06590009848
7942,7605.04359527856
1938,2008.48698997464
4674,4786.50084332234
5041,4656.55668911646
3801,3925.68510264452
6860,7266.94202188336
5986,6278.1069582333
8672,8775.83019422797
5801,5259.42074122089
5027,5025.35439339383
5130,5171.78292675863
4193,4583.47937038918
6200,6171.72478578051
1916,2092.66224507707
6828,7116.80567066717
9407,9288.25397050729
3615,3370.99350844618
6323,6425.75619912693
8849,8878.32977261903
5009,4759.05790081965
7220,6863.70251755131
1775,1939.3186420257
4553,4391.251854985
5733,6095.36631971232
8235,8046.89217965552
